Date,Eai1_ma1,Eai2_ma1,Eai3_ma1,Eai1_ma2,Eai2_ma2,Eai3_ma2,chatgpt
2004-01-01,1.31751,0.44789,0.52313,0.61893,0.26716,0.26551,
2004-02-01,1.32915,0.4557,0.51813,0.61173,0.26669,0.2661,
2004-03-01,1.33865,0.46746,0.5454,0.61141,0.2596799999999999,0.26971,
2004-04-01,1.34441,0.45548,0.5516,0.60664,0.26483,0.2641,
2004-05-01,1.33108,0.44789,0.5533899999999999,0.59443,0.26236,0.25998,
2004-06-01,1.35596,0.4335099999999999,0.51235,0.5877,0.25944,0.2591299999999999,
2004-07-01,1.38729,0.42501,0.51878,0.59024,0.26442,0.26559,
2004-08-01,1.4034,0.41318,0.5089899999999999,0.58571,0.2596799999999999,0.25395,
2004-09-01,1.44336,0.42008,0.51236,0.5818300000000001,0.25814,0.26172,
2004-10-01,1.43407,0.39636,0.55759,0.5715399999999999,0.25411,0.25834,
2004-11-01,1.42168,0.37642,0.5636399999999999,0.5745100000000001,0.2500699999999999,0.25536,
2004-12-01,1.43789,0.3810099999999999,0.58109,0.56767,0.24614,0.25223,
2005-01-01,1.45068,0.3966,0.5834,0.56251,0.24584,0.24872,
2005-02-01,1.44621,0.40495,0.5963999999999999,0.56722,0.2447599999999999,0.25333,
2005-03-01,1.4454699999999998,0.37973,0.5798099999999999,0.56507,0.24316,0.25076,
2005-04-01,1.43359,0.37989,0.57793,0.5679799999999999,0.23773,0.25282,
2005-05-01,1.44311,0.38523,0.56928,0.5685899999999999,0.23471,0.24772,
2005-06-01,1.43795,0.4105499999999999,0.57416,0.5700700000000001,0.2402,0.24836,
2005-07-01,1.41708,0.41263,0.56634,0.5628799999999999,0.23301,0.24286,
2005-08-01,1.39674,0.42191,0.55683,0.56107,0.2317399999999999,0.24078,
2005-09-01,1.36471,0.4235,0.54124,0.56416,0.23297,0.23419,
2005-10-01,1.39251,0.43524,0.49622,0.55936,0.23397,0.2324,
2005-11-01,1.38643,0.43432,0.4897999999999999,0.54434,0.23506,0.2285199999999999,
2005-12-01,1.3715700000000002,0.44469,0.49033,0.54465,0.23712,0.2249199999999999,
2006-01-01,1.30823,0.44342,0.46249,0.53959,0.23395,0.22432,
2006-02-01,1.31959,0.45242,0.4457,0.5397299999999999,0.23731,0.2224799999999999,
2006-03-01,1.30167,0.45896,0.4380199999999999,0.54236,0.23734,0.2255599999999999,
2006-04-01,1.28818,0.46105,0.41754,0.5479999999999999,0.23673,0.2193399999999999,
2006-05-01,1.25869,0.45185,0.4226,0.55199,0.23431,0.21954,
2006-06-01,1.27034,0.42654,0.4209,0.54688,0.23596,0.2195599999999999,
2006-07-01,1.30266,0.44907,0.40774,0.55092,0.2323899999999999,0.2191199999999999,
2006-08-01,1.31434,0.42732,0.39693,0.54859,0.2317,0.21621,
2006-09-01,1.30333,0.45157,0.39915,0.5431400000000001,0.23341,0.21689,
2006-10-01,1.32236,0.46096,0.39496,0.54396,0.23083,0.21126,
2006-11-01,1.35129,0.46329,0.38845,0.55074,0.22582,0.21565,
2006-12-01,1.35105,0.44846,0.38986,0.55917,0.2195,0.22314,
2007-01-01,1.35818,0.4407999999999999,0.39679,0.56455,0.21863,0.22797,
2007-02-01,1.34295,0.4178699999999999,0.39813,0.5736899999999999,0.2155999999999999,0.2295,
2007-03-01,1.35285,0.4124899999999999,0.41141,0.56949,0.21441,0.22515,
2007-04-01,1.34327,0.4086,0.41911,0.56675,0.21709,0.2244499999999999,
2007-05-01,1.3453700000000002,0.4204,0.41132,0.5588,0.21706,0.22403,
2007-06-01,1.33545,0.45352,0.43234,0.55584,0.2121699999999999,0.22376,
2007-07-01,1.33064,0.4206999999999999,0.45033,0.54909,0.21771,0.22136,
2007-08-01,1.32062,0.42468,0.4549799999999999,0.54739,0.22414,0.22623,
