Figure 7. Changes in the Occupational Mix Since 2004 by Major Industry,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Subtitle: Dissimilarity index (percentage points). Months from baseline on x-axis,,,,,,,,,,
Notes: Dissimilarity index is calculated using a 12-month moving average of employment data,,,,,,,,,,
"Source: CPS, The Budget Lab analysis",,,,,,,,,,
,,,,,,,,,,
Months from Jan 2003,Natural Resources and Mining,Construction,Manufacturing,"Trade, Transportation, and Utilities",Information,Financial Activities,Professional and Business Services,Education and Health Services,Leisure and Hospitality,Other Services
0,0,0,0,0,0,0,0,0,0,0
1,0.796345490286933,0.662545812647742,0.787805254934246,0.501807934145449,1.26446261879439,0.786575485071535,0.783151171565678,0.439215181816712,0.688905470604614,0.957369413519783
2,1.4908787223617,1.11675226116416,1.45487290817005,0.980262345442402,2.22396062716879,1.43786914732628,1.37790149415629,0.797763267485304,1.21364330979153,1.87497596870082
3,2.17944992515982,1.46344187570483,2.12962218549247,1.39787657010418,3.17787856339653,1.91459088110034,1.80781203297127,1.12969571892086,1.62975405121062,2.77935686383753
4,2.86698301229982,1.72062645446431,2.71601456164758,1.73919665546828,3.9797936558619,2.36994359419701,2.30449793466731,1.3762908741889,1.91017536917667,3.46063546011946
5,3.52130818992882,2.07796386476717,3.15134833283436,2.020073831721,4.60881747075559,2.79853676890458,2.73578819024775,1.61820489487712,2.21389407125475,4.14866321905361
6,4.16686664132867,2.4674709041842,3.37757039108145,2.3146790329997,5.42613978421,3.12632190398446,3.2153581674158,1.84477090668612,2.49454052438398,4.67681457072477
7,4.95455558212533,2.98068605772748,3.64778701669944,2.56127972840716,6.22084430776358,3.49164279511919,3.71867863763481,2.05238432730237,2.7314526057769,5.030919326232
8,5.35773504549683,3.43416775249475,4.01333611839457,2.67249910422538,6.58438020614792,3.74817498976926,4.11150814889645,2.26272079949401,3.06777977222941,5.34359739750415
9,6.06394740807598,3.76463508939518,4.31838884532237,2.75413885988979,6.89363086366297,4.24529227754899,4.60834738416821,2.39927866091069,3.30437212670265,5.70135939267435
10,6.66533558810315,4.06433744042887,4.49778890889057,2.92340585693501,7.00600047189852,4.73938898612692,5.01877371214161,2.55142060600275,3.39833664654242,6.01223476369805
11,7.17287915575496,4.33685552099501,4.68832348536226,3.11357338837151,7.41216954540126,5.05655332357366,5.47718956878332,2.66581678072146,3.57093904342442,6.26492090103231
12,7.60065093946234,4.48478795826209,4.85645158304584,3.23441617930676,7.44143386912551,5.45565611501833,5.6861902108154,2.8160753630394,3.73192338926876,6.36631360956395
13,7.8774439785503,4.74477575291837,4.95744235944171,3.29455818295742,7.83532232916459,5.80353076952393,5.83124962867631,2.97835855222579,3.91832645203381,6.35984694611784
14,8.3244909848591,4.90501634048719,5.01628296337422,3.29223264375543,8.30415374596015,6.03271553544156,5.83632394662366,3.06278524178962,4.190092513189,6.40246013009712
15,8.29639984134015,5.17571498061646,5.10444877023571,3.27086679559811,8.58996573314732,6.21954295023584,5.8425475653765,3.10475377015446,4.31776741543051,6.50022065534307
16,8.48389477853571,5.34300999789441,5.16421538311689,3.26947181964247,8.69200691522248,6.17855478369965,5.96116496341331,3.09996185538209,4.38804812430274,6.5939478419031
17,8.56145958670379,5.53266746015424,5.30270656292534,3.31576935243138,8.99385880383038,6.21471691403601,5.98140890773083,3.19676191495899,4.5001973013971,6.71416684900768
18,8.45792629364837,5.73780365580061,5.34499333655522,3.3370003155971,8.9766285008121,6.23369400159422,6.07228977554771,3.20793050034022,4.58318503762719,6.60089074720326
19,8.57212194830097,5.89534487635433,5.37769308485349,3.3923363748942,9.0864190925133,6.38189318642592,6.06149584743726,3.26724324143847,4.73338667444722,6.52113205066739
20,8.72359659773683,5.87627331529487,5.44910499748198,3.4323540228978,9.30514019021733,6.3948238723498,6.02977580794161,3.32426551690254,4.77049886259139,6.68559027424454
21,8.59937800167413,5.90791141356694,5.44972634633916,3.47444190642884,9.49002647047986,6.43156428585474,6.01252688157847,3.34887927983675,4.72086227406783,6.81585111210109
22,8.82665259885429,5.96053126448036,5.49615046960446,3.59394645165083,9.74693897809555,6.39222439398335,6.12884779085966,3.42578018418563,4.83109640230415,6.77607858380344
23,8.93267366747445,5.98943255835381,5.44013681122523,3.67902862966237,9.79693083134615,6.53721407662715,6.20620578444937,3.44644954425243,4.91646942661023,6.74458696825589
24,9.0463396682686,6.04271767271562,5.45916871769543,3.82184647172045,9.68600611663605,6.59472189015778,6.20445481459523,3.45578352602434,4.90113499978877,6.92476820152954
25,8.99980994335244,6.040928476964,5.45718552626689,3.92577784692517,9.58406371130071,6.58394212271119,6.32351594976863,3.51446679249718,4.86558480632761,7.01995267689304
26,9.06066485509008,6.16022864499199,5.50644880983913,4.06634951063495,9.31708499111322,6.56418910869322,6.4398673711304,3.50800672225366,4.82989634359239,6.96944987815678
27,9.14570449219528,6.31304696426249,5.61351358525706,4.15431960870309,9.10238667384953,6.57660266659803,6.57653464453736,3.54031655123064,4.92846991353262,6.98684871057347
28,8.79829009343612,6.46045215854269,5.77481893948525,4.22632953265887,9.17967934300006,6.58494064676057,6.61802117182577,3.55609111479368,5.10985816448953,7.10905439582732
29,8.64974079538539,6.60649563290784,5.94644918685178,4.25865377059359,9.24991185499644,6.6494459695216,6.68869501740649,3.56941817138699,5.24467302606969,7.21469409460193
30,8.70517277796,6.62485026693253,5.96715944767246,4.23859536200849,9.37442733722534,6.62320979757751,6.72856471083104,3.55233775642076,5.39966394763042,7.21258839734038
31,8.77209477511482,6.76466201353361,6.0290714953465,4.21607254756707,9.52493710876839,6.60203172937486,6.84068319532533,3.54553159469191,5.32611428731552,7.36282243066191
32,8.97296154926722,6.97009526763992,6.16156775588567,4.24976352417465,9.50263551148742,6.75565499172838,6.90919927689721,3.45988539279905,5.31101183970846,7.56666378238295
33,9.02440914827544,7.16231111338286,6.2538211579444,4.30506283423804,9.39425655799678,6.83688557351169,7.14236851901134,3.46959290601376,5.4475935449956,7.53781535134872
34,9.14481692975,7.34819874934127,6.30181292789656,4.35063662501869,9.41275054882609,6.88700592177498,7.35792970467048,3.39346677321362,5.36622959868566,7.5732377125641
35,9.53555091115777,7.50876817927637,6.41863302256768,4.39874510909188,9.67881234184726,6.84433858148452,7.53072904224092,3.39370803427158,5.31005275528284,7.56115510613079
36,9.67250060208956,7.46417884434104,6.43612313024492,4.36001276822917,10.1010944579972,6.87176752452355,7.67901005237309,3.47305201723758,5.36617311144025,7.53275566622694
37,9.81785043868689,7.5404122722731,6.38416210695656,4.34652776617114,10.2602640173234,6.8738600003165,7.7317522138124,3.53397989546758,5.31143283765641,7.56943160686089
38,9.93199612937068,7.76836305884077,6.28829226220388,4.24899995856085,10.5551240481137,6.9265012899641,7.6620930649558,3.600941548835,5.3811272602712,7.53445951431595
39,10.288625332847,8.02893734893789,6.0829638031883,4.25413227068751,10.8257675049433,6.92824543532323,7.61775124219631,3.69011789584821,5.42704886786341,7.44585991372192
40,10.4356913093586,8.25611530224543,5.96890739885374,4.27044353526289,10.8174379041808,6.97254478030996,7.51323115468557,3.81103948220434,5.56995896664572,7.57679901553922
41,10.6981400916097,8.54080968556792,5.8071543531568,4.34392758978263,10.8769047874259,7.09738314448706,7.47335410978558,3.90720880640174,5.59541695276334,7.49617662219665
42,10.7315614627617,8.76497606992263,5.77011854161357,4.41699810942384,10.8784492426385,7.30470227092162,7.41914844392871,4.11488896808376,5.55405729329279,7.56283862442453
43,11.0313696074578,8.82573602487854,5.79887969357203,4.49805815021446,10.8537525363705,7.45118716507192,7.53359195411163,4.27412693957051,5.63687240035855,7.65712174625573
44,11.3177021432363,8.75212488826071,5.92743747594648,4.64272895834515,11.2300960153321,7.51646861712624,7.59165268132771,4.39354601841793,5.73835495760142,7.77317079932829
45,11.534845277618,8.8880332322119,6.12530598528415,4.71892259789627,11.343985885882,7.5838491710274,7.65211450978328,4.45749871465774,5.77838184072399,7.92806786204762
46,11.5623151380048,8.98205239120765,6.29181458357142,4.79285003790752,11.370438756683,7.60919847434438,7.74213896869445,4.51927345242712,5.70762706848302,7.89504213170525
47,11.564892523027,9.11022155066205,6.46458545761904,4.82593091656637,11.2550921356735,7.70208721045848,7.81061906811862,4.60491467784466,5.69671706313099,7.80669500271564
48,11.3784210003322,9.2596383595335,6.55339602160583,4.93785735921854,11.0290542648365,7.66796907132851,7.88512862271294,4.64897241220598,5.76645649494603,7.81324536776873
49,11.1699988516519,9.41047798804598,6.73009841580301,5.05549359799356,10.7472841222909,7.69744260962203,8.03519467982642,4.61694934640185,5.79948768870569,7.73312418257676
