Axis (Date),Date,Eai1_ma1,Eai2_ma1,Eai3_ma1,Eai1_ma2,Eai2_ma2,Eai3_ma2,chatgpt
,2004-01-01,1.31751,0.44789,0.52313,0.61893,0.26716,0.26551,
,2004-02-01,1.32915,0.45570000000000005,0.51813,0.61173,0.26669,0.2661,
,2004-03-01,1.3386500000000001,0.46746,0.5454,0.61141,0.25967999999999997,0.26971,
,2004-04-01,1.34441,0.45548000000000005,0.5516,0.60664,0.26483,0.2641,
,2004-05-01,1.33108,0.44789,0.5533899999999999,0.59443,0.26236,0.25998000000000004,
,2004-06-01,1.35596,0.43350999999999995,0.51235,0.5877,0.25944,0.25912999999999997,
'04,2004-07-01,1.3872900000000001,0.42501,0.51878,0.59024,0.26442000000000004,0.26559,
,2004-08-01,1.4034,0.41318,0.5089899999999999,0.58571,0.25967999999999997,0.25395,
,2004-09-01,1.44336,0.42008,0.51236,0.5818300000000001,0.25814000000000004,0.26172,
,2004-10-01,1.43407,0.39636000000000005,0.55759,0.5715399999999999,0.25411,0.25834,
,2004-11-01,1.42168,0.37642000000000003,0.5636399999999999,0.5745100000000001,0.25006999999999996,0.25536000000000003,
,2004-12-01,1.43789,0.38100999999999996,0.58109,0.56767,0.24614,0.25223,
,2005-01-01,1.45068,0.3966,0.5834,0.56251,0.24584,0.24872000000000002,
,2005-02-01,1.44621,0.40495000000000003,0.5963999999999999,0.56722,0.24475999999999998,0.25333,
,2005-03-01,1.4454699999999998,0.37973,0.5798099999999999,0.56507,0.24316,0.25076,
,2005-04-01,1.4335900000000001,0.37989,0.57793,0.5679799999999999,0.23773000000000002,0.25282,
,2005-05-01,1.4431100000000001,0.38523,0.56928,0.5685899999999999,0.23471,0.24772000000000002,
,2005-06-01,1.43795,0.41054999999999997,0.57416,0.5700700000000001,0.2402,0.24836,
,2005-07-01,1.4170800000000001,0.41263000000000005,0.56634,0.5628799999999999,0.23301,0.24286,
,2005-08-01,1.3967399999999999,0.42191,0.55683,0.56107,0.23173999999999997,0.24078,
,2005-09-01,1.36471,0.4235,0.54124,0.56416,0.23297,0.23419,
,2005-10-01,1.39251,0.43524,0.49622,0.55936,0.23397,0.23240000000000002,
,2005-11-01,1.38643,0.43432000000000004,0.48979999999999996,0.54434,0.23506,0.22851999999999997,
,2005-12-01,1.3715700000000002,0.44469000000000003,0.49033000000000004,0.54465,0.23712,0.22491999999999998,
,2006-01-01,1.30823,0.44342000000000004,0.46249,0.53959,0.23395,0.22432,
,2006-02-01,1.31959,0.45242,0.4457,0.5397299999999999,0.23731,0.22247999999999998,
,2006-03-01,1.30167,0.45896000000000003,0.43801999999999996,0.54236,0.23734,0.22555999999999998,
,2006-04-01,1.28818,0.46105,0.41754,0.5479999999999999,0.23673000000000002,0.21933999999999998,
,2006-05-01,1.25869,0.45185,0.4226,0.55199,0.23431,0.21954,
,2006-06-01,1.27034,0.42654,0.4209,0.54688,0.23596,0.21955999999999998,
,2006-07-01,1.30266,0.44907,0.40774,0.55092,0.23238999999999999,0.21911999999999998,
,2006-08-01,1.31434,0.42732,0.39693,0.54859,0.23170000000000002,0.21621,
,2006-09-01,1.3033299999999999,0.45157,0.39915,0.5431400000000001,0.23341,0.21689,
,2006-10-01,1.32236,0.46096000000000004,0.39496000000000003,0.54396,0.23083,0.21126,
,2006-11-01,1.3512899999999999,0.46329,0.38845,0.55074,0.22582000000000002,0.21565,
,2006-12-01,1.35105,0.44846,0.38986,0.55917,0.2195,0.22314,
,2007-01-01,1.35818,0.44079999999999997,0.39679,0.56455,0.21863,0.22797,
,2007-02-01,1.34295,0.41786999999999996,0.39813,0.5736899999999999,0.21559999999999999,0.2295,
,2007-03-01,1.35285,0.41248999999999997,0.41141,0.56949,0.21441,0.22515000000000002,
,2007-04-01,1.34327,0.4086,0.41911,0.56675,0.21709,0.22444999999999998,
,2007-05-01,1.3453700000000002,0.42040000000000005,0.41132,0.5588,0.21706,0.22403,
,2007-06-01,1.33545,0.45352,0.43234,0.55584,0.21216999999999997,0.22376000000000001,
'07,2007-07-01,1.33064,0.42069999999999996,0.45033,0.54909,0.21771,0.22136,
,2007-08-01,1.32062,0.42468,0.45497999999999994,0.54739,0.22414,0.22623000000000001,
,2007-09-01,1.34527,0.39192000000000005,0.45351,0.54741,0.22496999999999998,0.22525,
,2007-10-01,1.28732,0.35969,0.45679,0.55154,0.22632,0.22877000000000003,
,2007-11-01,1.24881,0.35767,0.45565,0.55484,0.2264,0.23207000000000003,
,2007-12-01,1.30358,0.36593,0.45450999999999997,0.54874,0.22659999999999997,0.22953,
,2008-01-01,1.3434700000000002,0.36782,0.45262,0.55256,0.22784,0.22303,
,2008-02-01,1.39557,0.38457,0.44856,0.5466300000000001,0.22458999999999998,0.22215,
,2008-03-01,1.4075300000000002,0.38788,0.44992,0.56351,0.22802,0.22687,
,2008-04-01,1.4302000000000001,0.38935,0.46247,0.56602,0.22846,0.22617,
,2008-05-01,1.4405700000000001,0.38688,0.48469,0.5781999999999999,0.23362,0.23494,
,2008-06-01,1.43999,0.37052999999999997,0.46794,0.58727,0.23228,0.23393,
,2008-07-01,1.44,0.41206000000000004,0.461,0.58826,0.2322,0.23379,
,2008-08-01,1.48864,0.42824999999999996,0.49918999999999997,0.60119,0.23977,0.23861,
,2008-09-01,1.5006300000000001,0.44015,0.50802,0.6129199999999999,0.24001,0.24226,
,2008-10-01,1.53109,0.46887999999999996,0.51297,0.6274799999999999,0.25098,0.25612,
,2008-11-01,1.6000400000000001,0.48434000000000005,0.54963,0.64603,0.26113,0.26003,
,2008-12-01,1.5943100000000001,0.47264999999999996,0.56462,0.67362,0.27901,0.26713000000000003,
,2009-01-01,1.63676,0.49131,0.57952,0.70958,0.30045,0.28707,
,2009-02-01,1.61163,0.47815,0.59384,0.74333,0.32583999999999996,0.29643,
,2009-03-01,1.6539700000000002,0.5194500000000001,0.60541,0.75668,0.33433,0.30828,
,2009-04-01,1.6919,0.52016,0.59304,0.7800699999999999,0.34328000000000003,0.32148,
,2009-05-01,1.71917,0.5318200000000001,0.58119,0.7969499999999999,0.34851,0.32023,
,2009-06-01,1.7078,0.55142,0.5956,0.818,0.36383,0.33143,
,2009-07-01,1.7373900000000002,0.55854,0.62148,0.8508,0.37279,0.34425,
,2009-08-01,1.72824,0.57265,0.5867,0.86604,0.37812,0.34368,
,2009-09-01,1.7298799999999999,0.55663,0.58315,0.88675,0.38824,0.35034,
,2009-10-01,1.74811,0.55397,0.59024,0.9002899999999999,0.39277,0.34961,
,2009-11-01,1.70125,0.54797,0.57279,0.9053500000000001,0.39535000000000003,0.34677,
,2009-12-01,1.6994700000000003,0.57832,0.54954,0.91094,0.39547999999999994,0.34581,
,2010-01-01,1.6735099999999998,0.58123,0.56075,0.90556,0.39110000000000006,0.33265,
,2010-02-01,1.6878799999999998,0.58343,0.56311,0.8883800000000001,0.38199,0.32396,
,2010-03-01,1.65597,0.54922,0.54657,0.8847900000000001,0.38947,0.31261,
,2010-04-01,1.67127,0.56673,0.5455800000000001,0.87174,0.38649,0.30985,
,2010-05-01,1.6879600000000001,0.54719,0.53269,0.86595,0.38650999999999996,0.31183,
,2010-06-01,1.7426199999999998,0.52226,0.51802,0.8569,0.38131,0.30221,
'10,2010-07-01,1.76562,0.49817000000000006,0.49235,0.8446,0.38536,0.30008999999999997,
,2010-08-01,1.74628,0.4769,0.49814,0.8513700000000001,0.37416,0.30745999999999996,
,2010-09-01,1.7314900000000002,0.5075,0.49,0.8520800000000001,0.36804,0.30744,
,2010-10-01,1.71125,0.5014099999999999,0.53108,0.8449699999999999,0.35635,0.30230999999999997,
,2010-11-01,1.77583,0.51956,0.5403,0.84902,0.3572,0.30721,
,2010-12-01,1.78467,0.5081600000000001,0.55904,0.83913,0.35341,0.30693,
,2011-01-01,1.8344200000000002,0.5143,0.55415,0.8223100000000001,0.35012,0.31028,
,2011-02-01,1.8535800000000002,0.50983,0.5363,0.81075,0.33712,0.31195,
,2011-03-01,1.89113,0.5252,0.54703,0.8017500000000001,0.32339,0.31401,
,2011-04-01,1.89715,0.5301100000000001,0.5522499999999999,0.80015,0.32499,0.30978,
,2011-05-01,1.89112,0.54319,0.57637,0.79282,0.32637,0.31040999999999996,
,2011-06-01,1.8668500000000001,0.55196,0.57485,0.8039900000000001,0.32479,0.31314,
,2011-07-01,1.85682,0.55796,0.58818,0.79103,0.319,0.30732,
,2011-08-01,1.85732,0.56223,0.5816100000000001,0.7738,0.31732,0.2993,
,2011-09-01,1.90462,0.56028,0.60249,0.7693,0.31916,0.30334,
,2011-10-01,1.93246,0.57479,0.5776,0.76272,0.32504,0.29694,
,2011-11-01,1.8948,0.5744499999999999,0.55972,0.74766,0.32211,0.29066000000000003,
,2011-12-01,1.8936499999999998,0.59213,0.5442,0.74314,0.31947,0.28768,
,2012-01-01,1.83471,0.57643,0.5049399999999999,0.7424,0.31803,0.28564,
,2012-02-01,1.80698,0.57812,0.51285,0.74791,0.32227,0.28884000000000004,
,2012-03-01,1.7754200000000002,0.56991,0.51415,0.7387699999999999,0.32537,0.28862,
,2012-04-01,1.70494,0.56592,0.50882,0.73104,0.325,0.28709,
,2012-05-01,1.6541000000000001,0.56455,0.48691,0.73364,0.31644,0.27647,
,2012-06-01,1.65152,0.55648,0.50741,0.72271,0.32269,0.27746,
,2012-07-01,1.60374,0.55331,0.48437,0.73689,0.32125000000000004,0.27357000000000004,
,2012-08-01,1.6097899999999998,0.5576399999999999,0.49733,0.73692,0.32358,0.28116,
,2012-09-01,1.5415699999999999,0.5345500000000001,0.46778000000000003,0.7173900000000001,0.31983,0.27086,
,2012-10-01,1.53457,0.5124,0.45457,0.71505,0.31784999999999997,0.26707,
,2012-11-01,1.48014,0.50536,0.44699,0.7109,0.31399,0.26442000000000004,
,2012-12-01,1.46008,0.48666,0.44943,0.7051,0.30848,0.26881,
,2013-01-01,1.46191,0.49557999999999996,0.4717,0.7057199999999999,0.30659,0.27103,
,2013-02-01,1.49706,0.50539,0.47197999999999996,0.68864,0.30365000000000003,0.26659,
,2013-03-01,1.4627,0.49238,0.44986000000000004,0.68559,0.30354000000000003,0.26469000000000004,
,2013-04-01,1.47006,0.48234999999999995,0.43943999999999994,0.6929799999999999,0.29616,0.26506,
,2013-05-01,1.47265,0.5,0.44120000000000004,0.6865600000000001,0.30393,0.26985,
,2013-06-01,1.46562,0.49793,0.43321000000000004,0.67984,0.30546,0.26982,
'13,2013-07-01,1.45917,0.49154000000000003,0.45363,0.66875,0.3054,0.26711999999999997,
,2013-08-01,1.4646599999999999,0.47824,0.45148000000000005,0.6650699999999999,0.30412,0.25459,
,2013-09-01,1.44868,0.47756,0.47361,0.66538,0.30251,0.25569,
,2013-10-01,1.41889,0.48992,0.47763,0.65888,0.30104,0.27563000000000004,
,2013-11-01,1.42618,0.48425999999999997,0.46699,0.64667,0.29837,0.27526999999999996,
,2013-12-01,1.40544,0.47066,0.46831,0.6321399999999999,0.29762,0.26678999999999997,
,2014-01-01,1.42838,0.47463,0.45952,0.61668,0.29395,0.27065,
,2014-02-01,1.3951399999999998,0.46975999999999996,0.46882,0.61798,0.29410000000000003,0.26862,
,2014-03-01,1.40996,0.4861,0.48509,0.61537,0.29908999999999997,0.2637,
,2014-04-01,1.38499,0.49316000000000004,0.5140600000000001,0.5991299999999999,0.29924,0.26369000000000004,
,2014-05-01,1.43342,0.48674,0.49874,0.60248,0.29706,0.26295,
,2014-06-01,1.3820999999999999,0.50078,0.47963,0.5931500000000001,0.28916,0.25574,
,2014-07-01,1.39034,0.5152399999999999,0.469,0.58271,0.29015,0.25883999999999996,
,2014-08-01,1.37917,0.53054,0.44444,0.58106,0.29593,0.25961,
,2014-09-01,1.39649,0.5353600000000001,0.43488,0.57191,0.29205,0.25266,
,2014-10-01,1.39441,0.51691,0.42296,0.5614100000000001,0.29181,0.23606,
